Year,Broad Gauge Steam,Broad Gauge Diesel,Broad Gauge Electric,Broad Gauge Total,Metre Gauge Steam,Metre Gauge Diesel,Metre Gauge Electric,Metre Gauge Total
1970,26440,53016,26648,106104,11102,9248,198,20548
1971,25164,58084,28077,111325,11233,9837,213,21283
1972,23269,60168,30936,114373,10166,11146,203,21515
1973,19189,57030,27017,103236,7353,11067,203,18623
1974,21290,61746,30981,114017,7854,11800,180,19834
1975,20508,69541,36936,126985,7841,12560,214,20615
1976,16250,76145,41753,134148,8019,13649,266,21934
1977,15869,82167,42402,140438,7490,13850,228,21568
1978,11577,83096,38691,133364,6593,14098,199,20890
1979,8624,88583,37784,134991,6074,14277,189,20540
1980,6594,92611,38731,137936,4751,15109,180,20040
1981,4975,99358,49421,153754,3160,16581,207,19948
1982,4125,98660,53351,156136,2736,18066,202,21004
1983,2919,100766,53615,157300,2153,17982,253,20388
1984,2529,105008,54791,162328,2028,16843,223,19094
1985,1622,114343,67460,183425,1903,19673,226,21802
1986,1256,122799,76378,200432,1187,20501,172,21860
1987,1073,126524,81437,209034,785,20476,189,21450
1988,859,121739,85743,208341,603,20321,205,21129
1989,586,122123,91362,214071,609,21457,172,22238
1990,323,119192,100030,219545,558,21751,201,22510
1991,178,120189,112169,232537,562,22992,255,23809
1992,118,114105,121063,235287,294,21707,256,22259
1993,20,108254,129871,238145,179,17864,281,18324
1994,3,102123,137464,239590,68,12587,159,12814
1995,0,106566,155148,261714,17,10977,154,11148
1996,0,108966,161521,270487,1,8810,184,8995
1997,0,112387,168249,280636,0,5448,166,5614
1998,0,110853,168265,279118,0,4516,40,4556
1999,0,117266,186266,303532,0,3631,29,3660
2000,0,122134,188768,310902,0,2706,14,2706
2001,0,128478,203397,331875,0,2317,0,2317
2002,0,129857,222339,352196,0,2113,0,2113
2003,0,147242,243107,390349,0,2047,0,2047
2004,0,157612,249613,407225,0,1463,0,1463
2005,0,166114,272340,438454,0,1045,0,1045
2006,0,178596,301796,480392,0,692,0,692
2007,0,189108,331409,520517,0,642,0,642
2008,0,193445,357317,550762,0,639,0,639
2009,0,218448,381463,599911,0,513,0,513
2010,0,224948,400139,625087,0,447,0,447
2011,0,228583,438511,667094,0,0,0,0
2012,0,231811,459399,691210,0,0,0,0
